Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Avg Monthly GB Streaming Movies,Avg Monthly GB Streaming Music,Avg Monthly GB Streaming TV,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Score,Churn Category,Churn Reason
6815-ABQFQ,male,53.0,yes,No,0.0,united states,California,Silverado,92676.0,33.782346,-117.635263,1859.0,Q3,yes,1.0,56.0,none,Yes,14.43,Yes,FIBER OPTIC,25.0,No,Yes,No,Yes,Yes,Yes,Yes,2,0,0,yes,ONE YEAR,Yes,bank withdrawal,107.25,6033.3,0.0,0.0,808.0799999999999,6841.38,Stayed,70.0,,
1032-MAELW,Female,57.0,YES,Yes,3.0,United States,california,fresno,93703.0,36.768774,-119.762633,31180.0,Q3,YES,8.0,68.0,NONE,Yes,7.47,Yes,DSL,29.0,Yes,Yes,YES,Yes,NO,Yes,YES,3,0,0,YES,one year,YES,Bank Withdrawal,78.45,5333.35,0.0,0.0,507.96,5841.31,STAYED,67.0,,
2876-GZYZC,FEMALE,49.0,No,no,0.0,United States,California,CERRITOS,90703.0,33.8681,-118.067402,51556.0,Q3,NO,0.0,13.0,,Yes,29.21,Yes,fiber optic,22.0,No,No,No,No,No,Yes,yes,0,0,0,yes,Month-to-Month,YES,Bank Withdrawal,85.95,1215.65,0.0,0.0,379.73,1595.38,Stayed,58.0,,
4425-OWHWB,female,32.0,No,no,4141.0,united states,California,El Cajon,92019.0,32.785165,-116.862648,45714.0,Q3,No,0.0,20.0,none,Yes,10.9,No,,0.0,NO,no,No,NO,No,No,No,0,0,0,NO,One Year,Yes,Credit Card,19.35,433.75,0.0,0.0,218.0,651.75,stayed,77.0,,
5993-JSUWV,Female,25.0,No,No,0.0,United States,CALIFORNIA,columbia,95310.0,38.085839,-120.37855,2144.0,Q3,No,0.0,66.0,,Yes,21.37,No,DSL,30.0,Yes,Yes,Yes,No,no,NO,no,0,2,0,Yes,Two Year,Yes,Bank Withdrawal,61.15,4017.45,0.0,0.0,1410.42,5427.87,Stayed,66.0,,
3841-CONLJ,Female,33.0,Yes,No,0.0,United States,California,MORRO BAY,93442.0,35.369553,-120.763864,10909.0,Q3,yes,9.0,1.0,,NO,0.0,No,dsl,14.0,No,No,No,no,No,yes,Yes,0,0,0,Yes,Month-to-Month,NO,bank withdrawal,35.0,35.0,0.0,0.0,0.0,35.0,JOINED,54.0,,
0565-JUPYD,MALE,26.0,NO,no,0.0,United States,California,BENICIA,94510.0,38.113533,-122.11926,25578.0,Q3,NO,0.0,63.0,none,yes,21.45,Yes,FIBER OPTIC,85.0,Yes,yes,Yes,Yes,yes,No,No,1,0,0,Yes,One Year,NO,Credit Card,104.5,6590.8,0.0,0.0,1351.35,7942.15,Stayed,43.0,,
7365-BVCJH,Male,,No,no,0.0,UNITED STATES,california,Trinity Center,96091.0,41.081847,-122.700545,734.0,Q3,NO,0.0,1.0,OFFER E,No,0.0,No,dsl,6.0,no,No,No,No,No,No,No,0,0,0,YES,Month-to-Month,YES,Bank Withdrawal,24.4,24.4,0.0,0.0,0.0,24.4,Joined,66.0,,
3786-WOVKF,Female,69.0,YES,No,0.0,United States,California,Anaheim,92807.0,33.848733,-117.788357,36301.0,Q3,YES,8.0,72.0,OFFER A,Yes,7.85,yes,FIBER OPTIC,20.0,Yes,YES,No,No,Yes,Yes,Yes,1,0,0,No,One Year,yes,Bank Withdrawal,106.85,7677.4,0.0,100.0,565.1999999999999,8342.6,Stayed,58.0,,
4632-xjmex,Male,20.0,No,YES,2.0,UNITED STATES,California,Fresno,93650.0,36.841655,-119.797113,3258.0,Q3,no,0.0,53.0,Offer B,YES,47.81,No,cable,59.0,yes,YES,NO,YES,no,No,NO,0,2,0,yes,One Year,no,Credit Card,62.85,3419.5,0.0,0.0,2533.9300000000003,5953.43,Stayed,24.0,,
0319-QZTCO,Female,25.0,Yes,Yes,2.0,United States,CALIFORNIA,santa rosa,95401.0,38.460517,-122.790335,36125.0,q3,yes,9.0,,offer e,YES,11.47,NO,dsl,51.0,no,Yes,No,No,Yes,No,no,0,0,1,Yes,month-to-month,yes,Credit Card,58.7,168.6,0.0,0.0,34.410000000000004,203.01,JOINED,52.0,,
3068-omwza,Male,77.0,No,No,0.0,united states,California,Round Mountain,96084.0,40.923558,-122.059933,459.0,Q3,No,0.0,1.0,NONE,Yes,49.6,yes,Fiber Optic,4096.0,no,No,yes,no,Yes,No,No,0,0,0,no,MONTH-TO-MONTH,Yes,Bank Withdrawal,88.8,88.8,0.0,10.0,49.6,148.4,Churned,91.0,Competitor,Competitor made better offer
8909-BOLNL,Male,40.0,no,No,0.0,UNITED STATES,California,San Francisco,94123.0,37.800254,-122.436975,22920.0,q3,NO,0.0,3.0,,Yes,12.05,No,,0.0,NO,No,NO,No,No,No,No,1,0,0,No,One Year,No,Credit Card,21.2,52.05,0.0,0.0,36.150000000000006,88.2,Joined,29.0,,
5119-NZPTV,male,70.0,YES,No,0.0,United States,California,Sacramento,95823.0,38.475465,-121.443625,72199.0,Q3,Yes,9.0,2.0,Offer E,Yes,34.99,no,Fiber Optic,24.0,No,NO,No,No,No,No,No,0,0,0,Yes,MONTH-TO-MONTH,No,Bank Withdrawal,70.1,141.65,0.0,0.0,69.98,211.63,Joined,74.0,,
0268-QKIWO,female,41.0,no,no,0.0,United States,California,PILOT HILL,95664.0,38.803731,-121.043799,1173.0,q3,No,0.0,3.0,Offer E,Yes,3448.63,No,NONE,0.0,No,no,no,No,no,No,no,0,1,0,No,Month-to-Month,No,Bank Withdrawal,19.75,58.85,0.0,0.0,73.89,132.74,Churned,83.0,Attitude,Attitude of support person
4377-vdhyi,Male,29.0,Yes,YES,3.0,United States,California,Patterson,95363.0,37.410236,-121.320337,15536.0,q3,Yes,6.0,32.0,NONE,Yes,36.65,No,fiber optic,69.0,yes,Yes,No,No,No,yes,Yes,0,1,0,Yes,One Year,Yes,BANK WITHDRAWAL,90.8,3023.85,0.0,0.0,1172.8,4196.65,Stayed,80.0,,
6828-HMKWP,Male,24.0,Yes,Yes,1.0,UNITED STATES,CALIFORNIA,Berkeley,94710.0,37.872902,-122.303708,8157.0,q3,Yes,3.0,12.0,none,YES,49.7,no,none,0.0,No,No,no,No,No,No,No,0,0,2,No,Two Year,No,Bank Withdrawal,21.05,262.05,0.0,0.0,596.4000000000001,858.45,Stayed,25.0,,
4806-HIPDW,Female,64.0,Yes,No,0.0,United States,California,Calimesa,92320.0,33.982787,-117.057627,7334.0,Q3,Yes,1.0,1.0,OFFER E,Yes,21.65,No,fiber optic,13.0,No,No,No,NO,No,NO,no,0,0,0,yes,Month-to-Month,Yes,BANK WITHDRAWAL,68.95,68.95,0.0,0.0,21.65,90.6,Churned,75.0,Dissatisfaction,Limited range of services
3070-BDOQC,Female,38.0,No,No,0.0,United States,California,Sacramento,95827.0,38.549185,-121.328386,19611.0,Q3,No,0.0,60.0,none,yes,16.81,NO,Fiber Optic,21.0,No,YES,yes,No,YES,Yes,yes,1,0,0,Yes,two year,Yes,Bank Withdrawal,99.65,5941.05,0.0,0.0,1008.6,6949.65,stayed,41.0,,
4786-uksnz,Male,45.0,No,No,0.0,UNITED STATES,CALIFORNIA,CLAYTON,94517.0,37.881842,-121.848111,14239.0,Q3,no,0.0,1.0,offer e,yes,11.25,NO,,0.0,No,No,No,No,no,No,NO,0,0,0,No,month-to-month,no,Credit Card,20.2,20.2,0.0,0.0,11.25,31.45,churned,91.0,Competitor,Competitor made better offer
5619-XZZKR,Male,47.0,no,No,0.0,united states,California,santa maria,93454.0,34.943523,1953.743271,30540.0,q3,no,0.0,4.0,,Yes,6.86,NO,NONE,0.0,No,no,No,No,NO,No,No,0,1,0,No,One Year,no,Credit Card,19.95,68.2,0.0,0.0,27.44,95.64,STAYED,35.0,,
3727-OWVYD,Male,24.0,No,No,0.0,United States,California,Campo,91906.0,32.673483,-116.472863,3133.0,Q3,No,0.0,35.0,NONE,YES,38.38,NO,dsl,82.0,Yes,Yes,yes,NO,No,No,No,0,0,0,Yes,One Year,No,Mailed Check,61.2,2021.2,0.0,0.0,1343.3000000000002,3364.5,Stayed,70.0,,
5334-AFQJB,Male,66.0,No,no,0.0,United States,California,Simi Valley,93065.0,34.269449,-118.768471,64802.0,Q3,No,0.0,72.0,Offer A,Yes,2.37,YES,,0.0,No,No,NO,no,No,No,No,0,3,0,No,two year,yes,Credit Card,25.1,1789.9,0.0,0.0,170.64,1960.54,Stayed,74.0,,
8640-SDGKB,Male,39.0,NO,NO,0.0,United States,california,los angeles,90066.0,34.002028,-118.430656,55204.0,q3,No,0.0,4.0,none,Yes,28.89,No,dsl,3.0,no,No,YES,Yes,Yes,Yes,YES,0,1,0,Yes,MONTH-TO-MONTH,Yes,bank withdrawal,74.4,299.7,0.0,0.0,115.56,415.26,churned,69.0,Attitude,Attitude of support person
5919-tmrgd,FEMALE,32.0,No,Yes,3.0,United States,California,huntington park,90255.0,33.97803,-118.217141,78114.0,Q3,NO,0.0,1.0,,yes,13.13,No,Fiber Optic,57.0,No,No,No,NO,Yes,No,No,0,0,0,Yes,MONTH-TO-MONTH,Yes,BANK WITHDRAWAL,79.35,79.35,0.0,0.0,13.13,92.48,CHURNED,87.0,Competitor,Competitor had better devices
3137-NYQQI,Male,32.0,Yes,No,0.0,United States,CALIFORNIA,Palmdale,93550.0,34.536232,-118.082935,67232.0,Q3,YES,2.0,17.0,Offer D,yes,45.35,no,dsl,11.0,Yes,YES,NO,no,NO,Yes,yes,0,2,0,Yes,One Year,No,Credit Card,64.8,1175.6,0.0,0.0,770.95,1946.55,Stayed,70.0,,
7750-EYXWZ,female,62.0,No,No,0.0,United States,CALIFORNIA,Yucca Valley,92284.0,34.159534,-116.425984,20486.0,q3,No,0.0,12.0,,No,0.0,NO,Cable,24.0,NO,Yes,Yes,yes,yes,yes,yes,0,2,0,Yes,ONE YEAR,no,BANK WITHDRAWAL,60.65,743.3,40.41,0.0,0.0,7603.89,Stayed,24.0,,
0464-wjtko,Female,39.0,Yes,Yes,2.0,united states,CALIFORNIA,Cedarville,96104.0,41.505916,-120.152505,857.0,Q3,Yes,10.0,72.0,,Yes,14.17,No,,0.0,No,No,No,No,no,No,no,0,0,0,no,two year,No,Bank Withdrawal,20.1,1460.85,0.0,0.0,1020.24,2481.09,Stayed,30.0,,
3057-vjjqe,MALE,64.0,no,No,0.0,UNITED STATES,California,yorba linda,92886.0,33.897253,-117.792202,39458.0,Q3,no,0.0,35.0,,Yes,20.39,Yes,DSL,21.0,YES,No,no,no,No,No,No,0,0,0,Yes,two year,No,Credit Card,55.25,1924.1,0.0,0.0,713.65,2637.75,stayed,24.0,,
9830-ECLEN,Male,21.0,Yes,Yes,3.0,United States,california,winton,95388.0,37.421299,-120.599587,11463.0,Q3,YES,9.0,58.0,none,No,0.0,no,Cable,52.0,Yes,YES,Yes,NO,Yes,No,No,0,0,0,Yes,One Year,no,Mailed Check,50.0,2919.85,0.0,0.0,0.0,2919.85,Stayed,45.0,,
2195-ZRVAX,Female,40.0,yes,No,0.0,United States,California,Rodeo,94572.0,38.027218,-122.23463,14537.0,Q3,YES,1.0,47.0,,yes,44.26,no,Cable,23.0,No,No,Yes,No,No,YES,Yes,0,0,0,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,,0.0,0.0,2080.22,6125.87,Churned,90.0,Other,Don't know
5981-ITEMU,Male,58.0,Yes,No,0.0,United States,CALIFORNIA,Marshall,94940.0,38.129308,-122.834815,406.0,q3,Yes,1.0,40.0,Offer B,Yes,16.33,Yes,Fiber Optic,23.0,No,No,No,NO,YES,Yes,Yes,0,0,0,YES,month-to-month,Yes,bank withdrawal,97.1,3706.95,41.85,0.0,653.1999999999999,4318.3,Churned,67.0,Competitor,Competitor offered more data
6484-LATFU,MALE,20.0,No,no,0.0,United States,California,Linden,95236.0,38.047746,-121.030499,3148.0,Q3,No,0.0,68.0,NONE,YES,5.84,Yes,,0.0,NO,NO,No,No,no,No,No,2,3,0,No,Two Year,No,Credit Card,24.55,1657.4,0.0,0.0,397.12,2054.52,Stayed,31.0,,
1492-KGETH,Male,25.0,Yes,YES,1.0,UNITED STATES,california,Ojai,101826.0,34.581308,-118.931948,21633.0,Q3,yes,2.0,70.0,Offer A,Yes,35.9,yes,Cable,59.0,yes,yes,Yes,YES,no,Yes,yes,0,0,1,Yes,one year,No,Bank Withdrawal,78.35,5445.95,0.0,0.0,2513.0,7958.95,stayed,42.0,,
0621-HJWXJ,Female,54.0,Yes,NO,0.0,United States,California,Irvine,92618.0,33.667145,-117.732135,6301.0,Q3,Yes,1.0,63.0,Offer B,YES,21.15,yes,FIBER OPTIC,24.0,NO,Yes,No,No,No,No,No,0,0,0,Yes,MONTH-TO-MONTH,YES,Bank Withdrawal,81.55,5029.05,0.0,0.0,1332.4499999999998,6361.5,Stayed,41.0,,
6734-FQAJX,Male,65.0,No,No,0.0,United States,CALIFORNIA,Somerset,95684.0,38.606703,-120.586659,,Q3,No,0.0,67.0,,yes,34.23,no,Fiber Optic,11.0,YES,Yes,NO,Yes,yes,YES,Yes,0,0,0,YES,Two Year,Yes,Bank Withdrawal,105.05,7171.7,0.0,0.0,2293.41,9465.11,Stayed,49.0,,
0709-TVGUR,Female,70.0,No,No,0.0,United States,California,stockton,95207.0,38.002125,-121.324979,49965.0,Q3,No,0.0,165.0,none,YES,17.56,Yes,Fiber Optic,27.0,No,No,No,No,No,No,NO,0,0,0,yes,Month-to-Month,yes,BANK WITHDRAWAL,74.55,622.9,33.25,0.0,158.04,747.6899999999999,CHURNED,69.0,Competitor,Competitor had better devices
0345-xmmug,Female,718.0,Yes,No,0.0,United States,California,ione,95640.0,38.33788,-120.954202,9752.0,Q3,Yes,6.0,46.0,,Yes,2.0,yes,FIBER OPTIC,48.0,NO,Yes,Yes,Yes,Yes,YES,Yes,0,0,0,Yes,TWO YEAR,yes,Credit Card,108.9,4854.3,0.0,0.0,92.0,4946.3,stayed,45.0,,
6036-TTFYU,Female,48.0,YES,NO,0.0,united states,California,Thousand Oaks,91362.0,34.191842,-118.822796,33057.0,Q3,Yes,1.0,16.0,,Yes,46.86,no,none,0.0,No,No,NO,no,No,No,No,2,2,0,No,Month-to-Month,No,Credit Card,19.6,314.45,26.83,0.0,749.76,1037.38,stayed,79.0,,
6856-RAURS,Female,50.0,No,NO,0.0,United States,California,Rio Oso,95674.0,38.954144,-121.482536,947.0,Q3,No,0.0,2.0,NONE,Yes,41.08,YES,fiber optic,25.0,No,No,no,No,NO,NO,no,0,0,0,Yes,Month-to-Month,YES,CREDIT CARD,74.9,136.05,0.0,0.0,82.16,218.21,Joined,62.0,,
1965-AKTSX,FEMALE,65.0,no,No,0.0,United States,california,Byron,94514.0,37.83323,-121.601461,10153.0,q3,No,0.0,14.0,Offer D,yes,16.36,Yes,Fiber Optic,6.0,No,Yes,No,No,No,no,No,0,2,3,Yes,MONTH-TO-MONTH,YES,Bank Withdrawal,78.95,1101.85,0.0,0.0,229.04,1330.89,Churned,88.0,Competitor,Competitor made better offer
2589-AYCRP,Female,63.0,no,No,0.0,UNITED STATES,CALIFORNIA,Cedar Glen,92321.0,34.255203,-117.175654,455.0,Q3,No,0.0,50.0,Offer B,yes,37.95,NO,none,0.0,no,No,No,NO,No,NO,No,0,0,1,NO,One Year,No,BANK WITHDRAWAL,19.75,989.05,0.0,0.0,1897.5,2886.55,Stayed,71.0,,
4661-NJEUX,Male,42.0,no,No,0.0,United States,California,Portola Valley,94028.0,37.369709,-122.215844,6601.0,Q3,NO,0.0,1.0,,yes,3.23,NO,NONE,0.0,NO,no,No,No,NO,no,No,0,0,0,No,Month-to-Month,Yes,Credit Card,20.05,20.05,0.0,0.0,3.23,23.28,Joined,52.0,,
4510-HIMLV,Male,50.0,no,no,0.0,United States,CALIFORNIA,La Habra,90631.0,33.940619,-117.9513,67354.0,Q3,No,0.0,1.0,,Yes,22.86,No,fiber optic,25.0,No,No,NO,no,no,No,No,0,0,3,No,month-to-month,Yes,Bank Withdrawal,69.8,69.8,2476.0,10.0,22.86,102.66,CHURNED,90.0,Dissatisfaction,Network reliability
5188-HGMLP,male,73.0,yes,No,0.0,United States,California,MIDDLETOWN,95461.0,38.787446,-122.58675,7789.0,Q3,Yes,10.0,54.0,none,YES,35.16,YES,Fiber Optic,5.0,No,NO,no,no,No,no,No,0,0,0,YES,MONTH-TO-MONTH,no,Bank Withdrawal,74.0,3919.15,0.0,0.0,1898.64,5817.79,Stayed,30.0,,
1744-JHKYS,FEMALE,49.0,Yes,No,0.0,United States,California,Pasadena,91105.0,34.13946,-118.166649,10253.0,Q3,yes,5.0,34.0,Offer C,Yes,11.52,Yes,NONE,0.0,No,No,no,No,No,No,No,0,1,0,no,Month-to-Month,No,Bank Withdrawal,24.7,780.2,0.0,0.0,391.68,1171.88,stayed,72.0,,
3034-ZBEQN,female,31.0,YES,No,0.0,UNITED STATES,california,La Puente,92446.0,34.038983,-117.991372,30802.0,Q3,Yes,1.0,48.0,none,No,0.0,No,dsl,22.0,No,yes,Yes,No,No,No,no,0,0,0,Yes,ONE YEAR,NO,MAILED CHECK,34.7,1604.5,0.0,0.0,0.0,1604.5,CHURNED,90.0,Dissatisfaction,Product dissatisfaction
8087-LGYHQ,Male,40.0,No,No,0.0,UNITED STATES,California,Crestline,92325.0,34.248061,-117.29028,10484.0,Q3,No,0.0,9.0,Offer E,yes,15.53,No,Fiber Optic,14.0,NO,No,yes,No,yes,YES,Yes,0,0,1,Yes,Month-to-Month,Yes,Bank Withdrawal,94.05,811.65,0.0,0.0,139.76999999999998,951.42,STAYED,42.0,,
9227-LUNBG,Female,39.0,No,No,0.0,UNITED STATES,California,Pescadero,94060.0,37.22565,-122.297533,2055.0,q3,no,0.0,1.0,,No,0.0,No,DSL,12.0,no,No,No,No,no,No,no,0,0,0,Yes,Month-to-Month,NO,Bank Withdrawal,24.6,24.6,0.0,0.0,0.0,24.6,Churned,76.0,Price,Price too high
1047-NNCBF,Male,56.0,NO,no,0.0,United States,California,san jose,95123.0,37.238758,-121.828375,59632.0,Q3,No,0.0,20.0,,Yes,3.8,No,FIBER OPTIC,26.0,no,No,No,No,No,No,No,3,0,0,no,Month-to-Month,No,Credit Card,70.55,1493.55,17.6,0.0,76.0,1551.95,stayed,59.0,,
9885-AIBVB,Male,62.0,Yes,No,0.0,United States,California,Newcastle,95658.0,38.883224,-121.15918,6096.0,Q3,Yes,4.0,29.0,NONE,Yes,39.5,Yes,Fiber Optic,16.0,No,Yes,YES,no,NO,no,NO,0,1,0,No,Month-to-Month,Yes,bank withdrawal,85.8,2440.25,0.0,150.0,1145.5,3735.75,Stayed,70.0,,
6950-TWMYB,Male,31.0,yes,Yes,8.0,United States,CALIFORNIA,SANTA MONICA,90404.0,34.026334,-118.474222,19975.0,Q3,Yes,2.0,54.0,OFFER B,YES,46.7,NO,Fiber Optic,75.0,No,Yes,NO,yes,No,No,No,0,0,0,Yes,TWO YEAR,yes,bank withdrawal,79.95,4362.05,0.0,0.0,2521.8,6883.85,Stayed,48.0,,
0640-YJTPY,MALE,19.0,yes,Yes,1.0,united states,california,Smartville,95977.0,39.176595,-121.291692,963.0,Q3,YES,3.0,72.0,Offer A,Yes,5.7,No,NONE,0.0,NO,no,No,No,No,NO,No,0,0,0,No,Two Year,no,Bank Withdrawal,21.0,1493.75,0.0,0.0,410.4,1904.15,stayed,71.0,,
8058-INTPH,female,57.0,No,No,0.0,UNITED STATES,California,San Diego,92109.0,32.787836,-117.232376,46086.0,Q3,No,0.0,1.0,,yes,22.48,No,fiber optic,5.0,No,No,No,NO,YES,No,No,0,0,0,Yes,month-to-month,Yes,BANK WITHDRAWAL,79.65,79.65,0.0,0.0,22.48,102.13,CHURNED,71.0,Competitor,Competitor made better offer
8189-HBVRW,Female,50.0,NO,No,0.0,united states,California,Los Angeles,90005.0,34.059281,-118.30742,43019.0,Q3,NO,0.0,53.0,NONE,Yes,2.51,yes,FIBER OPTIC,19.0,YES,Yes,Yes,no,No,NO,No,0,0,1,No,Month-to-Month,No,Bank Withdrawal,90.8,4921.2,0.0,60.0,133.03,5114.23,Stayed,20.0,,
9643-YBLUR,Male,27.0,yes,No,0.0,United States,california,West Covina,91791.0,34.061634,-117.893169,30458.0,Q3,Yes,4.0,,Offer E,YES,26.03,Yes,Cable,59.0,No,Yes,yes,No,No,Yes,Yes,1,0,0,yes,Month-to-Month,Yes,Credit Card,69.05,653.95,0.0,0.0,234.27,5118.22,Stayed,60.0,,
3927-NLNRY,Male,48.0,YES,No,0.0,United States,California,Long Barn,95335.0,38.109125,-120.078597,683.0,Q3,Yes,1.0,53.0,Offer B,yes,15.77,No,Fiber Optic,9.0,No,Yes,No,NO,Yes,YES,YES,0,0,0,Yes,One Year,Yes,bank withdrawal,94.25,4867.95,0.0,0.0,835.81,5703.76,Churned,96.0,Other,Moved
8775-CEBBJ,female,40.0,No,No,0.0,United States,California,Seeley,92273.0,32.790282,-115.689559,1632.0,Q3,no,0.0,9.0,,YES,41.92,No,Cable,29.0,No,NO,no,No,no,no,no,0,0,0,YES,month-to-month,yes,Bank Withdrawal,44.2,403.35,0.0,0.0,377.28,780.6300000000001,Churned,87.0,Competitor,Competitor offered higher download speeds
2560-wbwxf,Male,45.0,No,No,0.0,United States,California,march air reserve base,92518.0,33.888323,-117.277533,1005.0,q3,NO,0.0,68.0,,yes,37.79,Yes,none,0.0,No,No,No,No,NO,No,No,0,1,0,No,two year,yes,Bank Withdrawal,24.15,1498.85,0.0,0.0,2569.72,4068.57,Stayed,70.0,,
6923-jhpmp,Female,6995.0,No,no,0.0,united states,California,TEMPLETON,93465.0,35.536115,9461.260769,7918.0,Q3,No,0.0,2.0,,Yes,35.41,no,fiber optic,25.0,yes,No,Yes,No,NO,No,NO,0,0,0,YES,Month-to-Month,YES,Bank Withdrawal,80.45,137.1,0.0,0.0,70.82,207.92,Joined,67.0,,
3258-ZKPAI,MALE,26.0,YES,yes,1.0,United States,california,Sacramento,95815.0,38.608405,-121.449942,25355.0,Q3,Yes,7.0,72.0,,yes,21.29,yes,fiber optic,52.0,Yes,Yes,Yes,Yes,yes,Yes,yes,1,0,2,yes,two year,Yes,Bank Withdrawal,116.6,8337.45,26.7,0.0,1532.88,9843.63,Stayed,59.0,,
5281-BUZGT,Male,69.0,No,No,0.0,United States,california,Weaverville,96093.0,40.759401,-122.939337,3749.0,Q3,No,0.0,36.0,offer c,Yes,23.33,Yes,Fiber Optic,23.0,Yes,NO,No,NO,YES,no,No,2,0,0,Yes,Month-to-Month,YES,BANK WITHDRAWAL,90.85,3186.7,0.0,0.0,839.8799999999999,4026.58,Churned,92.0,Competitor,Competitor made better offer
